Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Vegetable Curry Asian Style (Standard portion),Meal/Vegetable,318,9.9,38.6,13.8,4.3,16.8,495,0,Dinner,400,gluten-free,Winter,Roasted,Standard
Cottage Cheese (Standard portion),Dairy,98,12.4,5.3,3.3,1.5,2,195,173,Snack,0,"low-carb,gluten-free",All Year,Raw,Standard
Lentil Soup High-Fiber (Small portion),Meal/Legume,169,11.3,24.2,1.9,4,10.7,443,0,Lunch,250,gluten-free,Fall,Roasted,Small
Avocado Toast Spicy (Small portion),Meal/Vegetarian,166,5.2,19.2,9.6,5.3,4.7,311,0,Breakfast,250,"vegetarian,gluten-free",Fall,Grilled,Small
Lentil Soup Spicy (Large portion),Meal/Legume,286,19.8,46.4,4.1,8.2,19,387,0,Lunch,250,gluten-free,Fall,Steamed,Large
Vegetable Curry Italian Style (Extra Large portion),Meal/Vegetable,516,16.7,59.9,22,11.4,17.5,589,0,Dinner,500,gluten-free,Spring,Steamed,Extra Large
Lentil Soup High-Fiber (Standard portion),Meal/Legume,245,14.4,33.9,3.1,5.6,12.4,282,0,Lunch,300,gluten-free,Summer,Steamed,Standard
Protein Bar with Avocado (Small portion),Supplement/Processed,154,14.4,16.5,4.9,4.4,3.7,1023,0,Snack,250,gluten-free,Spring,Grilled,Small
Salmon (Small portion),Protein/Fish,148,18.1,0,10.3,0,0,114,175,Dinner,250,"low-carb,gluten-free",Winter,Pan-fried,Small
Protein Bar High-Fiber (Standard portion),Supplement/Processed,221,20.3,22.2,6.7,3.8,6.8,419,0,Snack,250,"high-protein,gluten-free",Summer,Grilled,Standard
Beef Steak Mediterranean Style (Standard portion),Protein/Meat,274,40.1,0,10.8,0,0,274,117,Dinner,500,"high-protein,low-carb,gluten-free",Winter,Roasted,Standard
Apple Spicy (Standard portion),Fruit,97,0.5,22.8,0.3,4.4,5.6,91,0,Snack,200,gluten-free,Summer,Pan-fried,Standard
Whole Wheat Toast Mexican Style (Extra Large portion),Grain,131,5.9,24,1.6,4.5,9.8,137,0,Breakfast,400,gluten-free,Summer,Baked,Extra Large
Oatmeal Mexican Style (Small portion),Grain,51,2.2,9.5,1,1.2,4.1,82,0,Breakfast,500,"low-carb,gluten-free",Spring,Boiled,Small
Grilled Chicken Salad Asian Style (Standard portion),Meal/Protein,336,28.4,9.2,18.1,2.1,3.7,607,95,Lunch,500,"high-protein,low-carb,gluten-free",Winter,Grilled,Standard
Hummus High-Fiber (Small portion),Legume,46,1.4,3.1,3.4,0.3,1.3,40,0,Snack,100,"low-carb,gluten-free",Fall,Steamed,Small
Stir Fry Tofu Light (Large portion),Meal/Vegetarian,557,23.2,38.1,27.2,9.7,15.9,350,0,Dinner,500,"high-protein,vegetarian,vegan",Winter,Boiled,Large
Scrambled Eggs Asian Style (Small portion),Protein/Dairy,60,3.9,0.8,5.1,0.2,0.2,165,29,Breakfast,300,"low-carb,gluten-free",Fall,Roasted,Small
Spaghetti Bolognese Mexican Style (Large portion),Meal/Pasta,558,23.5,70,22.7,10.6,14.7,461,0,Dinner,350,"high-protein,gluten-free",Fall,Roasted,Large
Almonds with Vegetables (Small portion),Nut,108,4.4,4.3,9.6,0.6,1.3,181,0,Snack,150,"low-carb,gluten-free",Winter,Baked,Small
Almonds with Cheese (Standard portion),Nut,175,5.5,6.1,15.3,1.3,2.4,86,0,Snack,250,"low-carb,gluten-free",Fall,Boiled,Standard
Hummus with Cheese (Standard portion),Legume,72,2,3.8,4.7,0.4,0.9,27,0,Snack,0,"low-carb,gluten-free",Fall,Steamed,Standard
Hummus High-Fiber (Extra Large portion),Legume,117,3.3,6.6,7.2,1.6,2.4,252,0,Snack,0,"low-carb,gluten-free",Spring,Steamed,Extra Large
Beef Steak Spicy (Extra Large portion),Protein/Meat,390,64.3,0,15.1,0,0,220,126,Dinner,250,"high-protein,low-carb,gluten-free",Summer,Baked,Extra Large
Apple Low-Carb (Small portion),Fruit,63,0.4,17.9,0.2,2.9,7.3,78,0,Snack,200,gluten-free,Spring,Steamed,Small
Whole Wheat Toast Low-Carb (Standard portion),Grain,87,3.9,13.9,1,3.4,4.5,9,0,Breakfast,500,gluten-free,Winter,Raw,Standard
Lentil Soup Light (Large portion),Meal/Legume,295,20.9,43.8,4.1,10.5,16.1,693,0,Lunch,250,"high-protein,gluten-free",Summer,Grilled,Large
Quinoa Bowl Extra Protein (Small portion),Meal/Grain,268,10.6,37,9,7,10.7,588,0,Lunch,250,gluten-free,Winter,Steamed,Small
Salmon Low-Carb (Large portion),Protein/Fish,287,29.5,0,19,0,0,195,126,Dinner,300,"high-protein,low-carb,gluten-free",Fall,Boiled,Large
Greek Yogurt (Large portion),Dairy,87,15.6,5.5,2,1.1,1.4,37,186,Breakfast,250,"low-carb,gluten-free",Spring,Steamed,Large
Turkey Sandwich Light (Small portion),Meal/Processed,237,15.4,23.8,8.2,5.5,4.9,1000,138,Lunch,400,gluten-free,Summer,Pan-fried,Small
Lentil Soup Low-Carb (Standard portion),Meal/Legume,228,14.3,34.6,2.9,4.5,12.9,788,0,Lunch,500,gluten-free,All Year,Roasted,Standard
Lentil Soup with Cheese (Standard portion),Meal/Legume,208,15.2,33.5,3.1,4.9,15.2,488,0,Lunch,300,gluten-free,Summer,Grilled,Standard
Lentil Soup with Avocado (Large portion),Meal/Legume,305,19.5,49.7,4.1,8,16.6,576,0,Lunch,350,gluten-free,Winter,Baked,Large
Lentil Soup with Cheese (Large portion),Meal/Legume,317,18.7,41.1,3.8,6.6,8.8,280,0,Lunch,350,gluten-free,Fall,Raw,Large
Hummus Asian Style (Extra Large portion),Legume,104,3.4,6.2,7.8,1.5,2.8,205,0,Snack,0,"low-carb,gluten-free",All Year,Steamed,Extra Large
Apple Mediterranean Style (Standard portion),Fruit,90,0.5,25.8,0.3,3.9,7.8,51,0,Snack,250,gluten-free,Fall,Steamed,Standard
Cottage Cheese Italian Style (Large portion),Dairy,113,14.4,6.3,4.2,0.8,3.1,224,173,Snack,0,"low-carb,gluten-free",Fall,Roasted,Large
Vegetable Curry High-Fiber (Standard portion),Meal/Vegetable,302,9.8,39.6,14.5,8.2,10.1,736,0,Dinner,300,gluten-free,Winter,Raw,Standard
Protein Shake Mediterranean Style (Standard portion),Supplement,121,25.8,3,1,0.3,1,200,0,Breakfast,300,"high-protein,low-carb,gluten-free",Spring,Raw,Standard
Cottage Cheese Low-Carb (Extra Large portion),Dairy,148,17.7,8.3,4.3,1.8,3.6,293,36,Snack,0,"low-carb,gluten-free",Fall,Baked,Extra Large
Scrambled Eggs (Small portion),Protein/Dairy,59,4.2,0.7,4.9,0.1,0.2,248,143,Breakfast,300,"low-carb,gluten-free",All Year,Raw,Small
Turkey Sandwich Italian Style (Large portion),Meal/Processed,479,28.1,40.8,16.7,9.3,10.6,1162,166,Lunch,300,"high-protein,gluten-free",Winter,Boiled,Large
Hummus Mediterranean Style (Large portion),Legume,100,2.7,5.5,6.3,1.5,1.4,22,0,Snack,100,"low-carb,gluten-free",Spring,Raw,Large
Vegetable Curry Mediterranean Style (Extra Large portion),Meal/Vegetable,484,15,60.9,23.9,12,28,748,0,Dinner,500,gluten-free,Fall,Baked,Extra Large
Protein Shake Spicy (Extra Large portion),Supplement,174,40.3,5.1,1.6,1.1,2.2,22,0,Breakfast,300,"high-protein,low-carb,gluten-free",Summer,Roasted,Extra Large
Salmon Extra Protein (Extra Large portion),Protein/Fish,333,41.1,0,23.8,0,0,235,37,Dinner,500,"high-protein,low-carb,gluten-free",Winter,Baked,Extra Large
Cottage Cheese Asian Style (Large portion),Dairy,127,14.2,7,3.7,0.7,2.1,134,40,Snack,150,"low-carb,gluten-free",All Year,Baked,Large
Spaghetti Bolognese Low-Carb (Large portion),Meal/Pasta,539,24.8,74.8,22.4,19.7,21.5,583,0,Dinner,250,"high-protein,gluten-free",Fall,Boiled,Large
Hummus Spicy (Large portion),Legume,83,2.8,5.1,6.1,0.8,2.1,188,0,Snack,150,"low-carb,gluten-free",Spring,Grilled,Large
Beef Steak Mediterranean Style (Small portion),Protein/Meat,205,30.2,0,7.5,0,0,187,109,Dinner,250,"high-protein,low-carb,gluten-free",Winter,Baked,Small
Hummus Asian Style (Large portion),Legume,90,2.8,4.8,6.9,0.8,1.6,62,0,Snack,150,"low-carb,gluten-free",Summer,Boiled,Large
Veggie Burger with Avocado (Extra Large portion),Protein/Vegetarian,201,19.3,16.4,6.1,2.6,5.3,40,0,Lunch,350,"vegetarian,vegan,gluten-free",All Year,Boiled,Extra Large
Salmon Light (Small portion),Protein/Fish,154,17.9,0,9.7,0,0,173,183,Dinner,250,"low-carb,gluten-free",Fall,Boiled,Small
Salmon Extra Protein (Extra Large portion),Protein/Fish,369,39.7,0,22.2,0,0,16,138,Dinner,400,"high-protein,low-carb,gluten-free",Summer,Raw,Extra Large
Avocado Toast with Vegetables (Small portion),Meal/Vegetarian,192,5.2,18.9,9.5,3.3,7.6,368,0,Breakfast,500,"vegetarian,gluten-free",Spring,Raw,Small
Whole Wheat Toast Extra Protein (Extra Large portion),Grain,135,6.3,24.1,1.5,2.5,7.8,60,0,Breakfast,500,gluten-free,Winter,Boiled,Extra Large
Lentil Soup Mexican Style (Small portion),Meal/Legume,160,10.2,22.9,1.9,5.8,5.5,387,0,Lunch,350,gluten-free,Fall,Steamed,Small
Protein Bar with Cheese (Standard portion),Supplement/Processed,204,20,21.5,6.8,4.4,10.6,534,0,Snack,250,gluten-free,Spring,Grilled,Standard
Spaghetti Bolognese with Vegetables (Large portion),Meal/Pasta,596,24.6,75.6,24.8,11.3,36.2,291,0,Dinner,350,"high-protein,gluten-free",Winter,Grilled,Large
Avocado Toast Low-Carb (Small portion),Meal/Vegetarian,171,4.5,20.5,10,3.3,9.1,495,0,Breakfast,400,"vegetarian,gluten-free",Spring,Boiled,Small
Turkey Sandwich Italian Style (Extra Large portion),Meal/Processed,559,34,54.5,18.1,10.3,13.5,636,43,Lunch,300,"high-protein,gluten-free",Spring,Baked,Extra Large
Tuna Salad Light (Extra Large portion),Meal/Fish,282,30,3.4,20.5,0.8,1.3,449,165,Lunch,350,"high-protein,low-carb,gluten-free",Summer,Roasted,Extra Large
Hummus (Standard portion),Legume,69,2,4,4.5,0.6,1.3,184,0,Snack,0,"low-carb,gluten-free",All Year,Grilled,Standard
Veggie Burger with Cheese (Extra Large portion),Protein/Vegetarian,203,19.1,14.4,6.5,4.1,5.1,126,0,Lunch,250,"vegetarian,vegan,gluten-free",Fall,Pan-fried,Extra Large
Veggie Burger Extra Protein (Large portion),Protein/Vegetarian,141,15.1,12.7,4.8,3.3,2.7,287,0,Lunch,350,"vegetarian,vegan,gluten-free",Fall,Roasted,Large
Turkey Sandwich Asian Style (Standard portion),Meal/Processed,365,22.6,34.3,11.7,7.7,10.5,935,66,Lunch,400,"high-protein,gluten-free",Spring,Pan-fried,Standard
Tuna Salad with Vegetables (Standard portion),Meal/Fish,185,17.3,1.8,13,0.4,0.7,722,26,Lunch,350,"low-carb,gluten-free",All Year,Baked,Standard
Tuna Salad Spicy (Small portion),Meal/Fish,133,13.6,1.5,8.2,0.4,0.6,590,85,Lunch,350,"low-carb,gluten-free",Spring,Steamed,Small
Grilled Chicken Salad High-Fiber (Large portion),Meal/Protein,476,40.5,12.2,28,1.5,2.9,643,120,Lunch,400,"high-protein,gluten-free",Winter,Baked,Large
Cottage Cheese with Cheese (Large portion),Dairy,115,14.7,6.4,4.3,0.9,2.5,119,57,Snack,150,"low-carb,gluten-free",Winter,Steamed,Large
Chicken Breast Asian Style (Standard portion),Protein/Meat,175,36,0,4,0,0,80,57,Dinner,300,"high-protein,low-carb,gluten-free",Winter,Steamed,Standard
Banana Extra Protein (Large portion),Fruit,125,1.6,37.7,0.5,7.1,13.5,214,0,Breakfast,500,gluten-free,Spring,Roasted,Large
Cottage Cheese Mexican Style (Standard portion),Dairy,93,12,5.3,3.1,1,2.5,147,156,Snack,200,"low-carb,gluten-free",Fall,Grilled,Standard
Stir Fry Tofu Italian Style (Large portion),Meal/Vegetarian,548,21.6,38.1,25.9,8,12.6,494,0,Dinner,300,"high-protein,vegetarian,vegan",Winter,Raw,Large
Protein Bar with Cheese (Standard portion),Supplement/Processed,196,20.1,22.3,7.4,5.5,9.2,997,0,Snack,100,"high-protein,gluten-free",Spring,Steamed,Standard
Banana with Avocado (Extra Large portion),Fruit,176,2,41,0.7,5.4,19.2,225,0,Breakfast,300,gluten-free,Summer,Grilled,Extra Large
Protein Bar with Cheese (Extra Large portion),Supplement/Processed,342,30.7,34.7,10.8,5.3,10.5,1032,0,Snack,150,"high-protein,gluten-free",All Year,Raw,Extra Large
Hummus Low-Carb (Small portion),Legume,53,1.3,3,3.8,0.8,1,165,0,Snack,250,"low-carb,gluten-free",All Year,Raw,Small
Protein Bar Light (Large portion),Supplement/Processed,288,25.7,25.9,9.7,7.1,11.7,856,0,Snack,150,"high-protein,gluten-free",Winter,Pan-fried,Large
Whole Wheat Toast (Large portion),Grain,100,4.9,17.4,1.3,4.4,3.9,292,0,Breakfast,350,gluten-free,Summer,Boiled,Large
Vegetable Curry High-Fiber (Small portion),Meal/Vegetable,219,7.4,25.5,10.5,4.4,12.6,561,0,Dinner,250,gluten-free,Spring,Roasted,Small
Beef Steak Light (Large portion),Protein/Meat,352,55.5,0,11.8,0,0,199,166,Dinner,350,"high-protein,low-carb,gluten-free",Summer,Grilled,Large
Stir Fry Tofu Asian Style (Small portion),Meal/Vegetarian,288,12.2,21.4,16.3,6.1,7.7,697,0,Dinner,300,"vegetarian,vegan,gluten-free",Fall,Boiled,Small
Hummus Mediterranean Style (Large portion),Legume,95,2.7,5,6.1,0.7,1.5,138,0,Snack,200,"low-carb,gluten-free",Spring,Roasted,Large
Stir Fry Tofu (Large portion),Meal/Vegetarian,506,23,39.7,31.1,8.6,13.6,688,0,Dinner,250,"high-protein,vegetarian,vegan",Summer,Pan-fried,Large
Grilled Chicken Salad with Avocado (Small portion),Meal/Protein,235,21.9,7.7,13.7,1.2,3.3,515,153,Lunch,300,"high-protein,low-carb,gluten-free",Winter,Boiled,Small
Whole Wheat Toast Light (Extra Large portion),Grain,132,6.4,22.6,1.7,3.3,6.4,215,0,Breakfast,400,gluten-free,Fall,Pan-fried,Extra Large
Turkey Sandwich Italian Style (Small portion),Meal/Processed,236,15.2,23.3,7.6,5.4,7.1,732,70,Lunch,300,gluten-free,Winter,Baked,Small
Lentil Soup Light (Standard portion),Meal/Legume,208,13.7,33,3,6.2,14.5,259,0,Lunch,350,gluten-free,Summer,Grilled,Standard
Cottage Cheese Italian Style (Small portion),Dairy,65,7.9,3.7,2.3,0.6,1.7,69,160,Snack,150,"low-carb,gluten-free",Spring,Raw,Small
Tuna Salad (Standard portion),Meal/Fish,202,18.9,2,11.1,0.4,0.7,370,112,Lunch,250,"low-carb,gluten-free",Winter,Baked,Standard
Whole Wheat Toast Light (Extra Large portion),Grain,116,5.8,23.1,1.6,6.5,8.8,163,0,Breakfast,500,gluten-free,Spring,Pan-fried,Extra Large
Grilled Chicken Salad Mediterranean Style (Small portion),Meal/Protein,262,19.4,6.3,14.7,1.3,2.3,567,107,Lunch,300,"low-carb,gluten-free",Spring,Baked,Small
Whole Wheat Toast (Extra Large portion),Grain,117,6.1,20.4,1.7,4.7,5.3,6,0,Breakfast,300,gluten-free,Fall,Raw,Extra Large
Grilled Chicken Salad Mediterranean Style (Large portion),Meal/Protein,431,36.6,11.9,26,2,2.8,796,27,Lunch,300,"high-protein,gluten-free",Fall,Boiled,Large
Quinoa Bowl Asian Style (Extra Large portion),Meal/Grain,613,25.9,91.7,20.4,27.3,26.3,467,0,Lunch,500,"high-protein,gluten-free",Summer,Roasted,Extra Large
Cottage Cheese Italian Style (Large portion),Dairy,126,16,7,3.6,1.7,1.5,164,147,Snack,250,"low-carb,gluten-free",Fall,Raw,Large
Veggie Burger Low-Carb (Extra Large portion),Protein/Vegetarian,200,18.9,15.8,6.7,3.1,7.2,141,0,Lunch,250,"vegetarian,vegan,gluten-free",Summer,Boiled,Extra Large
Cottage Cheese High-Fiber (Small portion),Dairy,65,8.6,3.2,2.1,0.4,1.6,172,82,Snack,200,"low-carb,gluten-free",Fall,Baked,Small
Lentil Soup Extra Protein (Extra Large portion),Meal/Legume,384,22.9,53.4,4.6,7.2,20.9,218,0,Lunch,500,"high-protein,gluten-free",All Year,Baked,Extra Large
Scrambled Eggs with Vegetables (Small portion),Protein/Dairy,65,4,0.7,5.2,0.2,0.2,237,21,Breakfast,350,"low-carb,gluten-free",Fall,Baked,Small
Veggie Burger Mediterranean Style (Extra Large portion),Protein/Vegetarian,177,17.2,16.2,5.9,3.5,3.8,234,0,Lunch,400,"vegetarian,vegan,gluten-free",Fall,Pan-fried,Extra Large
Banana Spicy (Extra Large portion),Fruit,182,1.9,44,0.6,7.5,18.1,57,0,Breakfast,300,gluten-free,Fall,Pan-fried,Extra Large
Tuna Salad High-Fiber (Standard portion),Meal/Fish,195,17.2,1.9,11.4,0.4,0.7,288,38,Lunch,350,"low-carb,gluten-free",Spring,Boiled,Standard
Scrambled Eggs with Avocado (Standard portion),Protein/Dairy,97,6.2,0.9,7.4,0.3,0.4,268,61,Breakfast,500,"low-carb,gluten-free",Fall,Baked,Standard
Salmon (Large portion),Protein/Fish,319,32.5,0,16.6,0,0,3,69,Dinner,400,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Large
Oatmeal Spicy (Standard portion),Grain,73,2.8,14.5,1.5,3.5,3.4,204,0,Breakfast,500,gluten-free,All Year,Pan-fried,Standard
Banana with Cheese (Extra Large portion),Fruit,174,2.2,42.9,0.7,5.9,16,199,0,Breakfast,350,gluten-free,All Year,Raw,Extra Large
Lentil Soup Low-Carb (Extra Large portion),Meal/Legume,402,25.5,50.8,4.8,13.9,11,450,0,Lunch,400,"high-protein,gluten-free",Winter,Grilled,Extra Large
Grilled Chicken Salad Low-Carb (Extra Large portion),Meal/Protein,587,52.4,16.8,34.3,3.8,5.8,616,29,Lunch,350,"high-protein,gluten-free",Summer,Roasted,Extra Large
Almonds Spicy (Small portion),Nut,113,3.9,4.6,10.6,0.6,1.4,101,0,Snack,200,"low-carb,gluten-free",Spring,Boiled,Small
Protein Bar High-Fiber (Standard portion),Supplement/Processed,194,18.7,20.1,7,2.1,9.2,751,0,Snack,0,gluten-free,Winter,Raw,Standard
Oatmeal Mexican Style (Extra Large portion),Grain,119,5,21.3,2.4,2.1,9.4,243,0,Breakfast,300,gluten-free,Winter,Boiled,Extra Large
Quinoa Bowl Asian Style (Standard portion),Meal/Grain,396,15.8,53.4,12.9,15.9,18.9,531,0,Lunch,250,gluten-free,Fall,Baked,Standard
Beef Steak (Small portion),Protein/Meat,180,30.3,0,7.1,0,0,272,145,Dinner,400,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Small
Lentil Soup with Avocado (Standard portion),Meal/Legume,247,15.8,38.2,3.2,5.7,18.9,358,0,Lunch,300,gluten-free,Summer,Boiled,Standard
Avocado Toast with Cheese (Standard portion),Meal/Vegetarian,260,7.2,26.4,14.9,3.5,7.1,466,0,Breakfast,300,"vegetarian,gluten-free",Summer,Raw,Standard
Avocado Toast Italian Style (Standard portion),Meal/Vegetarian,248,7.3,26.1,15.5,4.5,11.1,535,0,Breakfast,400,"vegetarian,gluten-free",All Year,Boiled,Standard
Turkey Sandwich Mexican Style (Standard portion),Meal/Processed,368,20.8,34,12.8,3.7,12.1,335,75,Lunch,250,"high-protein,gluten-free",Winter,Boiled,Standard
Cottage Cheese Italian Style (Large portion),Dairy,106,14.7,7,3.7,1.8,1.7,249,61,Snack,0,"low-carb,gluten-free",Summer,Roasted,Large
Veggie Burger Extra Protein (Large portion),Protein/Vegetarian,165,12.9,12.9,5.4,1.3,3.9,177,0,Lunch,500,"vegetarian,vegan,gluten-free",All Year,Steamed,Large
Lentil Soup Low-Carb (Extra Large portion),Meal/Legume,394,22.5,50.6,5.1,10.7,23.5,257,0,Lunch,300,"high-protein,gluten-free",Spring,Steamed,Extra Large
Vegetable Curry with Avocado (Extra Large portion),Meal/Vegetable,502,15.9,63.4,24.1,7.3,26.5,289,0,Dinner,350,gluten-free,Summer,Grilled,Extra Large
Protein Bar High-Fiber (Extra Large portion),Supplement/Processed,334,30,33.1,10.7,6.2,14.9,870,0,Snack,200,"high-protein,gluten-free",Winter,Boiled,Extra Large
Banana Mediterranean Style (Large portion),Fruit,134,1.8,37.5,0.5,4,9.6,48,0,Breakfast,400,gluten-free,All Year,Grilled,Large
Hummus Low-Carb (Standard portion),Legume,63,2,3.7,5.3,1,1.5,217,0,Snack,200,"low-carb,gluten-free",Summer,Raw,Standard
Protein Shake (Small portion),Supplement,91,18.1,2.1,0.7,0.3,1,7,0,Breakfast,350,"low-carb,gluten-free",All Year,Pan-fried,Small
Tuna Salad Low-Carb (Extra Large portion),Meal/Fish,299,28.1,3.3,19,0.8,0.9,213,53,Lunch,300,"high-protein,low-carb,gluten-free",All Year,Steamed,Extra Large
Apple Spicy (Large portion),Fruit,115,0.6,32.6,0.4,6.6,7.5,97,0,Snack,0,gluten-free,Spring,Pan-fried,Large
Banana with Avocado (Large portion),Fruit,131,1.8,33,0.5,3.5,16,80,0,Breakfast,500,gluten-free,Summer,Pan-fried,Large
Lentil Soup Low-Carb (Small portion),Meal/Legume,170,9.5,26.8,2,3.1,7.5,324,0,Lunch,300,gluten-free,Summer,Grilled,Small
Scrambled Eggs with Vegetables (Extra Large portion),Protein/Dairy,146,9,1.5,11.2,0.2,0.4,116,72,Breakfast,500,"low-carb,gluten-free",Spring,Boiled,Extra Large
Scrambled Eggs Mexican Style (Small portion),Protein/Dairy,59,4.2,0.7,4.9,0.1,0.3,155,173,Breakfast,400,"low-carb,gluten-free",Fall,Baked,Small
Veggie Burger (Small portion),Protein/Vegetarian,81,7.3,6.6,2.9,1.7,3.3,127,0,Lunch,400,"low-carb,vegetarian,vegan",Fall,Raw,Small
Almonds Italian Style (Extra Large portion),Nut,285,9.5,8.7,21.7,2.1,2.3,15,0,Snack,150,"low-carb,gluten-free",Summer,Boiled,Extra Large
Spaghetti Bolognese High-Fiber (Extra Large portion),Meal/Pasta,739,33.6,81.3,29,13.9,17.9,593,0,Dinner,350,"high-protein,gluten-free",Spring,Raw,Extra Large
Tuna Salad Spicy (Large portion),Meal/Fish,257,23.1,2.4,17,0.5,0.6,656,178,Lunch,300,"high-protein,low-carb,gluten-free",All Year,Baked,Large
Quinoa Bowl with Avocado (Large portion),Meal/Grain,549,18.2,66.6,15.5,16.8,22.1,284,0,Lunch,300,gluten-free,All Year,Boiled,Large
Protein Bar Light (Standard portion),Supplement/Processed,209,19.2,23.6,6.7,6.8,6.4,976,0,Snack,200,gluten-free,Spring,Pan-fried,Standard
Oatmeal Italian Style (Small portion),Grain,51,2.2,10.5,1.1,3,2.2,178,0,Breakfast,500,gluten-free,Fall,Pan-fried,Small
Oatmeal with Cheese (Small portion),Grain,58,2.1,10.7,0.9,2.6,2.5,174,0,Breakfast,300,gluten-free,Winter,Roasted,Small
Turkey Sandwich Extra Protein (Extra Large portion),Meal/Processed,518,38.4,50.6,19.9,14.1,11.5,583,39,Lunch,500,"high-protein,gluten-free",Winter,Roasted,Extra Large
Lentil Soup Mediterranean Style (Small portion),Meal/Legume,162,11.3,23.1,1.9,5.2,7.6,361,0,Lunch,400,gluten-free,Summer,Pan-fried,Small
Apple Spicy (Small portion),Fruit,68,0.3,16.1,0.2,1.9,4.4,46,0,Snack,200,gluten-free,Winter,Grilled,Small
Vegetable Curry with Vegetables (Standard portion),Meal/Vegetable,290,9.4,43.1,16.1,5.2,14.5,246,0,Dinner,300,gluten-free,Summer,Pan-fried,Standard
Veggie Burger Extra Protein (Large portion),Protein/Vegetarian,164,14.7,12.2,4.7,2,5.6,138,0,Lunch,500,"vegetarian,vegan,gluten-free",Spring,Raw,Large
Stir Fry Tofu Mediterranean Style (Standard portion),Meal/Vegetarian,375,17.9,32.9,24.1,9.3,6.6,333,0,Dinner,250,"vegetarian,vegan,gluten-free",All Year,Boiled,Standard
Lentil Soup Asian Style (Standard portion),Meal/Legume,226,16.5,38.4,3,4.4,18.9,256,0,Lunch,250,gluten-free,Spring,Raw,Standard
Greek Yogurt Spicy (Standard portion),Dairy,72,13.7,3.9,1.5,0.6,0.9,38,108,Breakfast,250,"low-carb,gluten-free",All Year,Roasted,Standard
Protein Bar Mediterranean Style (Small portion),Supplement/Processed,158,13.9,16.5,5.1,2.8,7.3,755,0,Snack,0,gluten-free,All Year,Pan-fried,Small
Stir Fry Tofu Light (Small portion),Meal/Vegetarian,287,12.4,22.4,16.3,2.5,6.7,230,0,Dinner,400,"vegetarian,vegan,gluten-free",Winter,Pan-fried,Small
